mt,product_index,incident_energy_mev,emitted_energy_mev,pdf_per_mev
5,1,35.0,2.409909,0.1191126
5,1,35.0,2.602702,0.12281740000000001
5,1,35.0,2.795494,0.12370659999999999
5,1,35.0,2.988288,0.12354659999999999
5,1,35.0,3.181081,0.1219603
5,1,35.0,3.373874,0.1189606
5,1,35.0,3.566666,0.115539
5,1,35.0,3.759459,0.110138
5,1,35.0,4.096846,0.09947332
5,1,35.0,4.578828,0.08739327
5,1,35.0,5.060809,0.07581233999999999
5,1,35.0,5.542791,0.06682123
5,1,35.0,6.024772,0.059426
5,1,35.0,6.506754,0.053187700000000004
5,1,35.0,6.988736,0.0478511
5,1,35.0,7.470718,0.043257989999999996
5,1,35.0,7.9527,0.039332149999999996
5,1,35.0,8.434682,0.03590603
5,1,35.0,8.916663,0.03295402
5,1,35.0,9.398645,0.030398510000000004
5,1,35.0,9.880628,0.02819166
5,1,35.0,10.36261,0.02632356
5,1,35.0,10.84459,0.024708479999999998
5,1,35.0,11.32657,0.02335322
5,1,35.0,11.80856,0.02220695
5,1,35.0,12.29054,0.02121205
5,1,35.0,12.77252,0.02038571
5,1,35.0,13.2545,0.01967201
5,1,35.0,13.73648,0.018977789999999998
5,1,35.0,14.21846,0.01834612
5,1,35.0,14.70044,0.01777731
5,1,35.0,15.18243,0.017253229999999998
5,1,35.0,15.66441,0.0167654
5,1,35.0,16.14639,0.01630166
5,1,35.0,16.62837,0.01588167
5,1,35.0,17.11035,0.015493940000000001
5,1,35.0,17.59234,0.015151749999999999
5,1,35.0,18.07432,0.014837069999999999
5,1,35.0,18.5563,0.01458514
5,1,35.0,19.03828,0.014410880000000001
5,1,35.0,19.76126,0.01430144
5,1,35.0,20.72522,0.01428108
5,1,35.0,21.68918,0.01398341
5,1,35.0,22.65314,0.01739655
5,1,35.0,23.61711,0.015096830000000002
5,1,35.0,24.58107,0.012407679999999999
5,1,35.0,25.30404,0.01007754
5,1,35.0,25.78603,0.008110322
5,1,35.0,26.26801,0.005153896
5,1,35.0,26.74999,0.001582127
5,1,35.0,27.23197,0.00123178
5,1,35.0,27.71395,0.001416751
5,1,35.0,28.19594,0.003189381
5,1,35.0,28.67792,0.011766430000000001
5,1,35.0,29.1599,0.03284888
5,1,35.0,29.64188,0.04095604
5,1,35.0,30.12386,0.02573772
5,1,35.0,30.60584,0.009254068
5,1,35.0,31.08783,0.001361887
5,1,35.0,31.56981,7.86235e-05
5,1,35.0,32.05179,6.63418e-06
5,1,35.0,32.52258,0.0
5,1,40.0,0.0,1.0058099999999999e-07
5,1,40.0,0.1445945,6.49272e-05
5,1,40.0,0.2409909,0.00046111000000000004
5,1,40.0,0.3373873,0.002191783
5,1,40.0,0.4337836,0.01114732
5,1,40.0,0.53018,0.01776707
5,1,40.0,0.6265764,0.02322679
5,1,40.0,0.7229728000000001,0.0296134
5,1,40.0,0.8193691,0.03453505
5,1,40.0,0.9157654000000001,0.03870783
5,1,40.0,1.012162,0.0422631
5,1,40.0,1.108558,0.04593166
5,1,40.0,1.204954,0.05012077
5,1,40.0,1.301351,0.054142230000000006
5,1,40.0,1.397747,0.05845153
5,1,40.0,1.494144,0.06305368
5,1,40.0,1.59054,0.06814008
5,1,40.0,1.686936,0.07338552999999999
5,1,40.0,1.783333,0.07836119999999999
5,1,40.0,1.879729,0.08388989000000001
5,1,40.0,2.024324,0.09337627
5,1,40.0,2.217116,0.10194729999999999
5,1,40.0,2.409909,0.1102498
5,1,40.0,2.602702,0.1140095
5,1,40.0,2.795494,0.1161085
5,1,40.0,2.988288,0.1166514
5,1,40.0,3.181081,0.1158619
5,1,40.0,3.373874,0.1134449
5,1,40.0,3.566666,0.1111088
5,1,40.0,3.759459,0.1068993
5,1,40.0,4.096846,0.09690314
5,1,40.0,4.578828,0.08534240000000001
5,1,40.0,5.060809,0.07462003
5,1,40.0,5.542791,0.06573246999999999
5,1,40.0,6.024772,0.05845948
5,1,40.0,6.506754,0.052053810000000006
5,1,40.0,6.988736,0.04662955
5,1,40.0,7.470718,0.041889590000000004
5,1,40.0,7.9527,0.03784225
5,1,40.0,8.434682,0.034360680000000005
5,1,40.0,8.916663,0.031344699999999996
5,1,40.0,9.398645,0.02880195
5,1,40.0,9.880628,0.0266033
5,1,40.0,10.36261,0.02479073
5,1,40.0,10.84459,0.02327645
5,1,40.0,11.32657,0.021996750000000002
5,1,40.0,11.80856,0.02098973
5,1,40.0,12.29054,0.02014115
5,1,40.0,12.77252,0.019464830000000002
5,1,40.0,13.2545,0.018895620000000002
5,1,40.0,13.73648,0.018387109999999998
